Game,Learning Agent,Test Agent,Win %, Draw %, Loss %
500,modified q-learning algorithm,Random,0.534,0.052,0.414
500,basic q-learning algorithm,Random,0.51,0.07,0.42
1000,modified q-learning algorithm,Random,0.464,0.1,0.436
1000,basic q-learning algorithm,Random,0.52,0.036,0.444
1500,modified q-learning algorithm,Random,0.502,0.106,0.392
1500,basic q-learning algorithm,Random,0.494,0.05,0.456
2000,modified q-learning algorithm,Random,0.472,0.118,0.41
2000,basic q-learning algorithm,Random,0.482,0.06,0.458
2500,modified q-learning algorithm,Random,0.644,0.13,0.226
2500,basic q-learning algorithm,Random,0.496,0.062,0.442
3000,modified q-learning algorithm,Random,0.61,0.136,0.254
3000,basic q-learning algorithm,Random,0.51,0.06,0.43
3500,modified q-learning algorithm,Random,0.676,0.116,0.208
3500,basic q-learning algorithm,Random,0.482,0.096,0.422
4000,modified q-learning algorithm,Random,0.662,0.142,0.196
4000,basic q-learning algorithm,Random,0.45,0.072,0.478
4500,modified q-learning algorithm,Random,0.758,0.106,0.136
4500,basic q-learning algorithm,Random,0.52,0.092,0.388
5000,modified q-learning algorithm,Random,0.738,0.146,0.116
5000,basic q-learning algorithm,Random,0.502,0.064,0.434
5500,modified q-learning algorithm,Random,0.774,0.136,0.09
5500,basic q-learning algorithm,Random,0.494,0.052,0.454
6000,modified q-learning algorithm,Random,0.81,0.114,0.076
6000,basic q-learning algorithm,Random,0.526,0.062,0.412
6500,modified q-learning algorithm,Random,0.832,0.108,0.06
6500,basic q-learning algorithm,Random,0.494,0.06,0.446
7000,modified q-learning algorithm,Random,0.868,0.08,0.052
7000,basic q-learning algorithm,Random,0.522,0.048,0.43
7500,modified q-learning algorithm,Random,0.862,0.096,0.042
7500,basic q-learning algorithm,Random,0.526,0.058,0.416
8000,modified q-learning algorithm,Random,0.872,0.078,0.05
8000,basic q-learning algorithm,Random,0.474,0.074,0.452
8500,modified q-learning algorithm,Random,0.854,0.07,0.076
8500,basic q-learning algorithm,Random,0.488,0.066,0.446
9000,modified q-learning algorithm,Random,0.854,0.086,0.06
9000,basic q-learning algorithm,Random,0.51,0.076,0.414
9500,modified q-learning algorithm,Random,0.864,0.09,0.046
9500,basic q-learning algorithm,Random,0.526,0.05,0.424
10000,modified q-learning algorithm,Random,0.856,0.086,0.058
10000,basic q-learning algorithm,Random,0.516,0.082,0.402
