Learning Agent,Test Agent,Win %, Draw %, Loss %
tanh output,Random,0.47,0.07,0.46
linear output,Random,0.568,0.058,0.374
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.658,0.096,0.246
linear output,Random,0.474,0.074,0.452
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.746,0.09,0.164
linear output,Random,0.55,0.062,0.388
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.796,0.078,0.126
linear output,Random,0.614,0.096,0.29
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.894,0.06,0.046
linear output,Random,0.478,0.052,0.47
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.93,0.04,0.03
linear output,Random,0.566,0.07,0.364
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.926,0.036,0.038
linear output,Random,0.504,0.082,0.414
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.928,0.046,0.026
linear output,Random,0.614,0.082,0.304
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.978,0.018,0.004
linear output,Random,0.608,0.088,0.304
tanh output,Moderate,0.0,0.004,0.996
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.984,0.016,0.0
linear output,Random,0.534,0.052,0.414
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.996,0.004,0.0
linear output,Random,0.618,0.094,0.288
tanh output,Moderate,0.0,0.006,0.994
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.988,0.01,0.002
linear output,Random,0.6,0.082,0.318
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.986,0.01,0.004
linear output,Random,0.628,0.07,0.302
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.998,0.002,0.0
linear output,Random,0.554,0.046,0.4
tanh output,Moderate,0.0,0.004,0.996
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.988,0.006,0.006
linear output,Random,0.538,0.06,0.402
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.998,0.002,0.0
linear output,Random,0.466,0.084,0.45
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.996,0.004,0.0
linear output,Random,0.376,0.066,0.558
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.996,0.004,0.0
linear output,Random,0.43,0.072,0.498
tanh output,Moderate,0.0,0.0,1.0
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.998,0.0,0.002
linear output,Random,0.398,0.042,0.56
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
tanh output,Random,0.996,0.004,0.0
linear output,Random,0.436,0.044,0.52
tanh output,Moderate,0.0,0.002,0.998
linear output,Moderate,0.0,0.0,1.0
tanh output,Advanced,0.0,0.0,1.0
linear output,Advanced,0.0,0.0,1.0
