Game Number,Test Agent,Win Percentage,Draw Percentage,Loss Percentage
1000,random_player,0.529,0.076,0.395
1000,moderate_player,0.0,0.0,1.0
1000,advanced_player,0.0,0.0,1.0
2000,random_player,0.594,0.105,0.301
2000,moderate_player,0.0,0.0,1.0
2000,advanced_player,0.0,0.0,1.0
3000,random_player,0.747,0.098,0.155
3000,moderate_player,0.0,0.0,1.0
3000,advanced_player,0.0,0.0,1.0
4000,random_player,0.885,0.056,0.059
4000,moderate_player,0.0,0.001,0.999
4000,advanced_player,0.0,0.0,1.0
5000,random_player,0.901,0.049,0.05
5000,moderate_player,0.0,0.001,0.999
5000,advanced_player,0.0,0.0,1.0
6000,random_player,0.928,0.029,0.043
6000,moderate_player,0.001,0.002,0.997
6000,advanced_player,0.0,0.0,1.0
7000,random_player,0.879,0.05,0.071
7000,moderate_player,0.0,0.005,0.995
7000,advanced_player,0.0,0.0,1.0
8000,random_player,0.919,0.045,0.036
8000,moderate_player,0.0,0.004,0.996
8000,advanced_player,0.001,0.001,0.998
9000,random_player,0.959,0.026,0.015
9000,moderate_player,0.002,0.008,0.99
9000,advanced_player,0.0,0.0,1.0
10000,random_player,0.969,0.019,0.012
10000,moderate_player,0.004,0.015,0.981
10000,advanced_player,0.0,0.001,0.999
11000,random_player,0.982,0.012,0.006
11000,moderate_player,0.0,0.004,0.996
11000,advanced_player,0.0,0.0,1.0
12000,random_player,0.981,0.011,0.008
12000,moderate_player,0.001,0.003,0.996
12000,advanced_player,0.0,0.0,1.0
13000,random_player,0.989,0.007,0.004
13000,moderate_player,0.002,0.007,0.991
13000,advanced_player,0.001,0.001,0.998
14000,random_player,0.983,0.008,0.009
14000,moderate_player,0.003,0.003,0.994
14000,advanced_player,0.0,0.001,0.999
15000,random_player,0.984,0.005,0.011
15000,moderate_player,0.0,0.008,0.992
15000,advanced_player,0.0,0.001,0.999
16000,random_player,0.992,0.006,0.002
16000,moderate_player,0.0,0.009,0.991
16000,advanced_player,0.0,0.0,1.0
17000,random_player,0.986,0.012,0.002
17000,moderate_player,0.004,0.014,0.982
17000,advanced_player,0.0,0.001,0.999
18000,random_player,0.991,0.007,0.002
18000,moderate_player,0.002,0.009,0.989
18000,advanced_player,0.0,0.001,0.999
19000,random_player,0.99,0.007,0.003
19000,moderate_player,0.001,0.006,0.993
19000,advanced_player,0.0,0.0,1.0
20000,random_player,0.997,0.002,0.001
20000,moderate_player,0.002,0.004,0.994
20000,advanced_player,0.0,0.001,0.999
21000,random_player,0.992,0.004,0.004
21000,moderate_player,0.001,0.004,0.995
21000,advanced_player,0.0,0.0,1.0
22000,random_player,0.995,0.004,0.001
22000,moderate_player,0.002,0.01,0.988
22000,advanced_player,0.0,0.0,1.0
23000,random_player,0.997,0.0,0.003
23000,moderate_player,0.004,0.006,0.99
23000,advanced_player,0.0,0.0,1.0
24000,random_player,0.993,0.007,0.0
24000,moderate_player,0.001,0.004,0.995
24000,advanced_player,0.0,0.0,1.0
25000,random_player,0.997,0.002,0.001
25000,moderate_player,0.001,0.007,0.992
25000,advanced_player,0.0,0.0,1.0
26000,random_player,0.991,0.005,0.004
26000,moderate_player,0.003,0.008,0.989
26000,advanced_player,0.0,0.0,1.0
27000,random_player,0.996,0.003,0.001
27000,moderate_player,0.001,0.007,0.992
27000,advanced_player,0.0,0.0,1.0
28000,random_player,0.995,0.004,0.001
28000,moderate_player,0.003,0.008,0.989
28000,advanced_player,0.0,0.0,1.0
29000,random_player,0.998,0.001,0.001
29000,moderate_player,0.0,0.013,0.987
29000,advanced_player,0.0,0.0,1.0
30000,random_player,0.998,0.001,0.001
30000,moderate_player,0.001,0.008,0.991
30000,advanced_player,0.0,0.0,1.0
31000,random_player,0.998,0.002,0.0
31000,moderate_player,0.001,0.011,0.988
31000,advanced_player,0.0,0.001,0.999
32000,random_player,0.999,0.001,0.0
32000,moderate_player,0.001,0.011,0.988
32000,advanced_player,0.0,0.001,0.999
33000,random_player,0.998,0.001,0.001
33000,moderate_player,0.001,0.007,0.992
33000,advanced_player,0.0,0.001,0.999
34000,random_player,0.999,0.001,0.0
34000,moderate_player,0.001,0.004,0.995
34000,advanced_player,0.0,0.0,1.0
35000,random_player,1.0,0.0,0.0
35000,moderate_player,0.0,0.013,0.987
35000,advanced_player,0.0,0.0,1.0
36000,random_player,0.999,0.001,0.0
36000,moderate_player,0.002,0.006,0.992
36000,advanced_player,0.0,0.0,1.0
37000,random_player,0.998,0.002,0.0
37000,moderate_player,0.001,0.011,0.988
37000,advanced_player,0.0,0.0,1.0
38000,random_player,0.999,0.001,0.0
38000,moderate_player,0.003,0.006,0.991
38000,advanced_player,0.0,0.0,1.0
39000,random_player,0.999,0.001,0.0
39000,moderate_player,0.0,0.005,0.995
39000,advanced_player,0.0,0.0,1.0
40000,random_player,1.0,0.0,0.0
40000,moderate_player,0.0,0.01,0.99
40000,advanced_player,0.0,0.0,1.0
41000,random_player,1.0,0.0,0.0
41000,moderate_player,0.002,0.008,0.99
41000,advanced_player,0.0,0.0,1.0
42000,random_player,0.996,0.003,0.001
42000,moderate_player,0.0,0.013,0.987
42000,advanced_player,0.0,0.001,0.999
43000,random_player,0.997,0.002,0.001
43000,moderate_player,0.001,0.009,0.99
43000,advanced_player,0.0,0.0,1.0
44000,random_player,0.998,0.002,0.0
44000,moderate_player,0.004,0.01,0.986
44000,advanced_player,0.0,0.0,1.0
45000,random_player,0.999,0.0,0.001
45000,moderate_player,0.003,0.012,0.985
45000,advanced_player,0.0,0.0,1.0
46000,random_player,0.996,0.004,0.0
46000,moderate_player,0.0,0.009,0.991
46000,advanced_player,0.0,0.0,1.0
47000,random_player,0.999,0.001,0.0
47000,moderate_player,0.001,0.002,0.997
47000,advanced_player,0.0,0.0,1.0
48000,random_player,0.997,0.001,0.002
48000,moderate_player,0.0,0.003,0.997
48000,advanced_player,0.0,0.0,1.0
49000,random_player,0.998,0.001,0.001
49000,moderate_player,0.0,0.008,0.992
49000,advanced_player,0.0,0.0,1.0
50000,random_player,0.998,0.0,0.002
50000,moderate_player,0.0,0.014,0.986
50000,advanced_player,0.0,0.0,1.0
51000,random_player,0.998,0.002,0.0
51000,moderate_player,0.0,0.005,0.995
51000,advanced_player,0.0,0.0,1.0
52000,random_player,0.997,0.003,0.0
